id;kelime;tekrar;se�
474;bile;1527;1
241;iyi;1097;1
421;zaten;1017;1
1747;hic;978;1
1382;lan;943;1
194;artik;807;1
176;guzel;767;1
1749;hala;571;1
3020;oy;546;1
681;az;528;1
536;para;517;1
622;kadin;502;1
648;turk;489;1
48;olsa;485;1
310;hicbir;476;1
438;hatta;474;1
502;insanlar;472;1
1305;dogru;426;1
344;hep;421;1
646;ulan;410;1
2978;akp;401;1
244;kotu;365;1
1531;amk;359;1
1720;allah;350;1
1663;aslinda;344;1
559;adamlar;329;1
130;gercekten;317;1
508;ulkede;314;1
1850;onemli;314;1
2518;yuzden;299;1
2610;pek;299;1
1712;gerek;298;1
1495;bence;291;1
701;olay;288;1
1037;kabul;285;1
2841;ulkenin;259;1
2336;ulke;257;1
1157;yanlis;250;1
5765;tl;242;1
385;gercek;238;1
2350;niye;238;1
1372;lira;236;1
1617;zor;233;1
3242;SMILEEMOTICON;231;1
4618;hadi;230;1
545;cevap;226;1
678;adami;225;1
5587;abi;225;1
1993;amina;222;1
260;chp;220;1
76;be;217;1
3510;normal;217;1
4724;surekli;213;1
790;ha;212;1
1027;peki;205;1
3176;hdp;204;1
727;uzerinden;200;1
1152;dunyanin;199;1
5617;kurt;197;1
284;turlu;194;1
1184;insanin;194;1
1052;yuzunden;193;1
2522;bok;193;1
2738;bos;193;1
70;e;192;1
506;sirf;190;1
1603;adama;185;1
6386;boyunca;185;1
4130;rahat;183;1
2322;ozel;181;1
1730;orospu;178;1
137;polis;175;1
2151;din;175;1
763;merak;171;1
2548;ister;171;1
1001;kardesim;170;1
195;asla;164;1
818;ceza;164;1
610;hak;163;1
4457;mutlu;163;1
416;laf;162;1
698;ciddi;162;1
625;kesin;161;1
623;tecavuz;159;1
1451;yalniz;157;1
3651;bunlarin;157;1
3870;azindan;155;1
1428;destek;154;1
1713;devletin;154;1
2408;acaba;153;1
985;kendimi;152;1
1032;sacma;152;1
2894;savas;152;1
2339;mal;151;1
1668;hele;150;1
850;yardim;149;1
174;yazik;148;1
3612;kadinlar;146;1
4249;oyun;146;1
1526;saygi;143;1
581;kadinin;141;1
1004;yahu;137;1
739;gayet;135;1
5684;sol;134;1
3197;kan;133;1
3408;muhtemelen;133;1
2983;resmen;130;1
3237;mhp;129;1
4493;nefret;129;1
161;olayi;128;1
3037;baris;128;1
1487;la;127;1
410;ortada;126;1
7467;rahatsiz;125;1
2251;dini;124;1
4307;super;124;1
313;siyasi;123;1
758;dusunuyorum;123;1
2810;kisinin;123;1
839;lutfen;122;1
3217;akpnin;122;1
4351;yeter;122;1
5030;arkadasim;122;1
42;de;5549;0
12;cok;3058;0
54;daha;2524;0
655;mi;2326;0
67;var;2286;0
124;en;2269;0
283;her;1845;0
395;yok;1774;0
107;olarak;1766;0
52;olan;1574;0
783;ya;1504;0
77;adam;1318;0
87;boyle;1190;0
47;nasil;964;0
1055;bunu;950;0
201;benim;936;0
84;zaman;898;0
350;buyuk;876;0
1345;2;859;0
1422;kendi;859;0
1386;ilk;845;0
231;oldugu;834;0
1512;olsun;832;0
507;ayni;830;0
1493;falan;830;0
158;gun;824;0
629;iki;823;0
1274;;806;0
991;simdi;803;0
1214;son;785;0
643;insan;773;0
41;yine;755;0
2337;oldugunu;750;0
1441;3;730;0
175;oldu;727;0
213;cunku;717;0
1145;olur;715;0
157;1;713;0
189;bana;712;0
1327;baska;696;0
607;iste;689;0
396;oyle;675;0
238;tum;634;0
657;neden;622;0
741;sekilde;608;0
2154;yeni;536;0
1670;mu;535;0
854;is;524;0
450;beni;520;0
248;mac;518;0
38;fazla;517;0
1199;bunun;515;0
341;bizim;511;0
2443;icinde;510;0
106;tam;493;0
83;senin;482;0
128;onu;479;0
1498;yil;477;0
1475;biraz;468;0
379;butun;464;0
1558;sene;455;0
759;burada;444;0
1401;5;440;0
796;belki;436;0
454;10;433;0
35;kisi;430;0
205;devam;429;0
1507;veya;426;0
332;turkiye;422;0
584;olmasi;421;0
9;4;418;0
330;bugun;408;0
702;yerine;402;0
104;evet;397;0
229;adamin;391;0
605;bak;391;0
1643;tane;391;0
343;olacak;390;0
1986;oluyor;388;0
325;eden;385;0
60;sana;383;0
4525;sizin;383;0
488;olmus;381;0
2072;geldi;381;0
1035;onun;375;0
859;an;373;0
1854;diger;373;0
2089;dedi;365;0
2922;devlet;364;0
694;tarafindan;363;0
1429;olmak;362;0
1604;diyor;361;0
2130;olmayan;358;0
144;uzerine;354;0
1115;gelen;352;0
1033;demek;350;0
1028;geri;349;0
53;yer;347;0
520;eger;344;0
156;vardi;340;0
46;yapan;339;0
676;kiz;338;0
1759;size;337;0
1913;cocuk;337;0
2127;uzun;337;0
1127;dedim;335;0
268;takim;333;0
2825;kim;332;0
408;gecen;331;0
528;vs;331;0
1095;soyle;331;0
774;erkek;330;0
230;sahip;325;0
10;arkadas;321;0
3583;diyen;317;0
5463;gol;315;0
1113;kac;314;0
2624;ayrica;310;0
362;maci;308;0
1437;tabi;307;0
843;ilgili;305;0
297;degildir;304;0
2597;hemen;304;0
160;yaptigi;303;0
1508;yoksa;301;0
736;lazim;300;0
1426;seyler;300;0
654;olabilir;296;0
1009;bazi;293;0
2137;kendini;293;0
50;geliyor;291;0
66;saat;289;0
443;vardir;288;0
105;buna;287;0
1133;varsa;286;0
3522;seni;286;0
820;durum;285;0
1922;ona;280;0
748;acik;278;0
25;bize;276;0
1671;fakat;276;0
5452;fenerbahce;275;0
793;kez;274;0
2980;mesela;274;0
249;milli;270;0
