"id","word","count","count_n","count_h","count_u"
"23","cay","46","10","24","12"
"36","kisi","337","159","71","107"
"39","fazla","376","194","79","103"
"136","polis","120","37","23","60"
"173","yazik","125","51","28","46"
"175","guzel","537","264","166","107"
"193","artik","535","244","123","168"
"234","eksi","113","57","33","23"
"239","kotu","260","125","59","76"
"244","milli","128","74","31","23"
"257","takim","195","134","37","24"
"299","hicbir","337","143","78","116"
"322","arasinda","187","90","57","40"
"329","gelecek","140","67","43","30"
"350","SADEMOTICON","51","26","12","13"
"366","adamlarin","98","49","16","33"
"388","aciklama","96","47","15","34"
"432","beni","342","155","112","75"
"456","bile","1005","478","231","296"
"484","insanlar","359","158","82","119"
"518","para","332","162","64","106"
"541","adamlar","249","121","43","85"
"587","hak","145","75","24","46"
"600","tecavuz","74","24","9","41"
"620","insan","555","252","131","172"
"623","ulan","336","150","79","107"
"631","olabilir","238","133","62","43"
"654","kiz","205","67","74","64"
"672","tarafindan","271","128","51","92"
"676","ciddi","124","63","19","42"
"738","burada","325","146","76","103"
"763","sabah","141","56","51","34"
"811","ilan","103","46","17","40"
"965","kendimi","127","56","40","31"
"968","kadinin","107","27","30","50"
"975","kendisine","146","67","46","33"
"982","kardesim","134","74","36","24"
"985","yahu","116","64","17","35"
"1038","takip","105","57","32","16"
"1043","entry","140","66","44","30"
"1108","dedim","188","82","67","39"
"1136","insanlari","132","54","29","49"
"1292","evde","123","54","40","29"
"1313","sanirim","196","98","59","39"
"1341","lan","662","300","209","153"
"1345","ilk","526","295","135","96"
"1396","tabi","244","122","71","51"
"1467","saygi","97","41","35","21"
"1552","tatli","41","14","19","8"
"1556","gordum","110","46","40","24"
"1649","katil","45","15","6","24"
"1656","gerek","250","128","67","55"
"1657","devletin","107","48","15","44"
"1664","allah","254","101","53","100"
"1674","orospu","141","43","23","75"
"1722","lanet","43","10","7","26"
"1776","onemli","237","126","66","45"
"1824","cocuk","235","90","60","85"
"1834","cocugu","145","52","35","58"
"1897","sikeyim","79","28","15","36"
"1901","adalet","79","31","15","33"
"1902","amina","174","75","38","61"
"1931","aci","75","31","9","35"
"2032","olmayan","302","143","64","95"
"2056","yeni","340","169","94","77"
"2238","ulke","194","70","36","88"
"2241","mal","116","47","28","41"
"2476","genis","45","18","19","8"
"2498","hemen","229","104","71","54"
"2533","sicak","62","21","30","11"
"2726","ulkenin","210","81","31","98"
"2788","teror","94","34","9","51"
"2807","parti","132","65","24","43"
"2808","devlet","196","87","32","77"
"2821","bomba","64","24","6","34"
"2859","akp","234","109","31","94"
"2861","mesela","214","105","60","49"
"2902","oy","247","123","43","81"
"2952","pkk","73","24","9","40"
"3059","hdp","110","57","12","41"
"3125","SMILEEMOTICON","175","71","83","21"
"3373","oglum","108","51","37","20"
"3514","bunlarin","134","63","27","44"
"3680","pislik","24","7","2","15"
"3779","hava","99","47","34","18"
"4247","mutlu","119","60","37","22"
"4283","nefret","99","50","14","35"
"4315","sizin","289","136","57","96"
"4448","sozluk","160","76","51","33"
"4971","saldiri","44","17","5","22"
"5694","yasta","20","4","12","4"
"6230","sehit","67","22","14","31"
"6545","ev","110","44","38","28"
"8379","serefsiz","38","14","5","19"
"10593","terorist","76","24","13","39"
"11038","kahkaha","17","7","9","1"
"13736","orgut","34","8","3","23"
"16258","siddet","39","15","5","19"
"16509","mutsuz","27","7","5","15"
"30778","nobel","21","8","10","3"
