"id","word","count","count_n","count_h","count_u"
"43","de","2281","1104","548","629"
"13","cok","1482","718","394","370"
"55","daha","1331","635","339","357"
"68","var","1254","586","319","349"
"123","en","1200","595","310","295"
"632","mi","1173","526","301","346"
"272","her","1076","486","275","315"
"377","yok","1042","502","251","289"
"106","olarak","1007","518","245","244"
"456","bile","1005","478","231","296"
"53","olan","970","476","230","264"
"762","ya","907","441","213","253"
"78","adam","830","406","207","217"
"88","boyle","791","379","194","218"
"1681","hic","695","330","170","195"
"236","iyi","689","342","178","169"
"403","zaten","669","346","141","182"
"1341","lan","662","300","209","153"
"1036","bunu","661","311","159","191"
"48","nasil","627","306","161","160"
"972","simdi","627","301","161","165"
"200","benim","590","266","169","155"
"226","oldugu","581","291","127","163"
"1381","kendi","580","288","129","163"
"1196","son","572","305","134","133"
"489","ayni","571","290","130","151"
"85","zaman","569","271","141","157"
"1453","olsun","559","263","142","154"
"620","insan","555","252","131","172"
"606","iki","552","270","132","150"
"2239","oldugunu","539","279","122","138"
"175","guzel","537","264","166","107"
"193","artik","535","244","123","168"
"1304","2","534","275","129","130"
"339","buyuk","533","279","130","124"
"1345","ilk","526","295","135","96"
"1298","baska","519","237","122","160"
"157","gun","519","227","143","149"
"42","yine","498","244","119","135"
"174","oldu","495","231","123","141"
"1126","olur","491","233","137","121"
"1434","falan","491","225","140","126"
"378","oyle","488","245","106","137"
"584","iste","486","233","133","120"
"1620","3","479","245","111","123"
"635","cunku","457","222","103","132"
"188","bana","450","201","128","121"
"720","sekilde","450","251","92","107"
"156","1","437","226","109","102"
"233","tum","427","218","91","118"
"1683","hala","417","190","101","126"
"634","neden","412","194","91","127"
"659","az","404","193","103","108"
"1181","bunun","402","210","80","112"
"1613","mu","402","188","99","115"
"49","olsa","387","197","81","109"
"2344","icinde","384","190","101","93"
"39","fazla","376","194","79","103"
"420","hatta","370","198","82","90"
"330","bizim","366","181","90","95"
"484","insanlar","359","158","82","119"
"105","tam","354","167","92","95"
"1278","dogru","349","184","75","90"
"1424","biraz","348","172","93","83"
"127","onu","346","162","83","101"
"432","beni","342","155","112","75"
"834","is","341","170","80","91"
"2056","yeni","340","169","94","77"
"361","butun","339","170","80","89"
"36","kisi","337","159","71","107"
"299","hicbir","337","143","78","116"
"623","ulan","336","150","79","107"
"518","para","332","162","64","106"
"738","burada","325","146","76","103"
"84","senin","320","140","87","93"
"470","olmus","312","150","76","86"
"1360","5","312","165","74","73"
"204","devam","311","148","78","85"
